severity_100,logDensity_100,severity_300,logDensity_300,severity_1000,logDensity_1000,count_100,count_300,count_1000,uid,DateTime
2.411111111111111,11.1315302478296,2.4973262032085564,11.395510484774595,1.6443839875631558,9.398105998583615,90,187,7719,aabm,2022-12-27 16:14:33.910241+00:00
3.995575221238938,15.453825310686343,3.910702113156101,14.937536987319405,3.9124916499666,14.950302656174346,226,1467,1497,aabn,2022-12-27 16:14:33.910241+00:00
1.5507483629560337,9.301673478068395,1.550917806617561,9.302171697692136,1.608928400726508,9.34920470805491,8552,8553,10461,aacd,2022-12-27 16:14:33.910241+00:00
1.540096618357488,9.213549181462735,1.540096618357488,9.213549181462735,1.5398999782561427,9.159562007525322,4140,4140,4599,aaee,2022-12-27 16:14:33.910241+00:00
3.0277777777777777,12.868044015456768,2.546218487394958,11.780139973505857,2.3344343517753923,11.060418785034493,36,833,1211,aaff,2022-12-27 16:14:33.910241+00:00
2.703125,11.905955026994569,2.361581920903955,11.23764152337981,1.6526403326403327,9.443791825759991,128,531,12025,aafl,2022-12-27 16:14:33.910241+00:00
1.5598829767782045,9.298430319257132,1.5603070175438596,9.299586248055304,1.5986709936640395,9.332371388028262,5469,5472,6471,aafp,2022-12-27 16:14:33.910241+00:00
1.5383456759131418,9.259656018484085,1.5389537071885586,9.26119346788884,1.587382160986222,9.291458907785517,7967,7971,9653,aagm,2022-12-27 16:14:33.910241+00:00
1.4569479965899403,9.006736111416773,1.4569479965899403,9.006736111416773,1.4404852160727823,8.875489603278966,1173,1173,1319,aahy,2022-12-27 16:14:33.910241+00:00
1.5535978923102256,9.278115657603992,1.553836022390517,9.278821095579351,1.5871265009773807,9.296056025618128,6073,6074,7162,aaia,2022-12-27 16:14:33.910241+00:00
1.495879120879121,9.095279203189095,1.495879120879121,9.095279203189095,1.481392557022809,8.985604877037002,728,728,833,aaie,2022-12-27 16:14:33.910241+00:00
1.4897795591182366,9.081525249050395,1.4897795591182366,9.081525249050395,1.4824624194702936,8.994560097218075,2495,2495,2794,aaig,2022-12-27 16:14:33.910241+00:00
-1.0,-1.0,-1.0,-1.0,3.8799392097264436,15.015001714467358,0,0,658,aair,2022-12-27 16:14:33.910241+00:00
2.522727272727273,11.719631340582515,2.5691854759568202,11.82027942961511,2.4172056921086673,11.262601938156227,308,1019,1546,aajk,2022-12-27 16:14:33.910241+00:00
-1.0,-1.0,1.4404145077720207,8.59970207897848,1.4762223710649698,8.93606388543892,0,193,2986,aajw,2022-12-27 16:14:33.910241+00:00
2.75,11.870756801804768,2.546969696969697,11.771819398057971,2.275618374558304,10.843410632106053,4,660,1698,aalr,2022-12-27 16:14:33.910241+00:00
-1.0,-1.0,-1.0,-1.0,3.8745696015740285,14.864858847776913,0,0,2033,aalw,2022-12-27 16:14:33.910241+00:00
3.8945652173913046,14.955311524755256,3.909090909090909,15.015304331972018,3.909090909090909,15.015304331972018,920,1089,1089,aamg,2022-12-27 16:14:33.910241+00:00
-1.0,-1.0,1.25,9.89321417222782,2.3724747474747474,11.33051534367808,0,4,792,aamp,2022-12-27 16:14:33.910241+00:00
3.9093198992443323,14.99484546065434,3.909892262487757,15.026109051500573,3.909892262487757,15.026109051500573,397,1021,1021,aaoj,2022-12-27 16:14:33.910241+00:00
1.5554813949607875,9.283727884154706,1.5559633027522937,9.28484814946528,1.5900453771979581,9.305526807679275,5993,5995,7052,aaoy,2022-12-27 16:14:33.910241+00:00
-1.0,-1.0,2.0,10.83142222979333,3.8677119059284664,14.84670603751556,0,1,2041,aapj,2022-12-27 16:14:33.910241+00:00
3.783333333333333,14.613615809410392,3.8088235294117645,14.728287185638571,3.8088235294117645,14.728287185638571,120,136,136,aaqc,2022-12-27 16:14:33.910241+00:00
1.5434071921540138,9.278663579324,1.543991286457703,9.28013749666176,1.5981094527363184,9.323546403302323,8259,8263,10050,aaqd,2022-12-27 16:14:33.910241+00:00
-1.0,-1.0,1.3714285714285714,7.890265890552575,1.4263803680981595,8.736684783897426,0,35,652,aaqf,2022-12-27 16:14:33.910241+00:00
2.8333333333333335,12.38632182181904,2.54040404040404,11.745867914388635,2.2875874125874125,10.955773864506288,6,198,1144,aaql,2022-12-27 16:14:33.910241+00:00
3.8860544217687076,14.91169565707841,3.910062893081761,14.918268577628073,3.913280776228017,14.939240017916395,588,1590,1649,aaqq,2022-12-27 16:14:33.910241+00:00
1.427927927927928,8.891463481885122,1.427927927927928,8.891463481885122,1.4098360655737705,8.724868560221601,444,444,488,aarj,2022-12-27 16:14:33.910241+00:00
2.7142857142857144,12.129931682162843,1.9182156133828996,9.845281697300942,1.582673568818514,9.275064716281337,21,269,6568,aarq,2022-12-27 16:14:33.910241+00:00
1.54405413187446,9.263651394816272,1.5444732297063903,9.264623781620468,1.5842683073953432,9.286602009626089,6946,6948,8289,aauw,2022-12-27 16:14:33.910241+00:00
1.5480240774666318,9.286272800892984,1.5440528634361232,9.272009496884726,1.5897626112759644,9.290469164300179,7642,7718,9436,aauy,2022-12-27 16:14:33.910241+00:00
2.5,11.406640475826753,1.6702586206896552,9.238618096587214,1.5785765636232927,9.235892019177825,10,464,6955,aava,2022-12-27 16:14:33.910241+00:00
-1.0,-1.0,1.5395390296701896,9.25986885613977,1.5923760017327269,9.326270032236982,0,7853,9234,aavi,2022-12-27 16:14:33.910241+00:00
-1.0,-1.0,1.3620071684587813,8.179291517551164,1.5099574848959498,9.028066278853137,0,279,4469,aavk,2022-12-27 16:14:33.910241+00:00
1.558786741713571,9.291827832699934,1.5592372616442638,9.292875002227877,1.5980829831932772,9.328834773395908,6396,6398,7616,aaxb,2022-12-27 16:14:33.910241+00:00
-1.0,-1.0,3.8275862068965516,14.681391529334725,3.859289617486339,14.828587055757865,0,29,2928,aaxc,2022-12-27 16:14:33.910241+00:00
3.8993630573248406,14.926467539626142,3.9147485080988917,14.971906449162251,3.826139572408229,14.75580636407244,1570,2346,2479,aaxe,2022-12-27 16:14:33.910241+00:00
2.9,12.337200991888087,2.473684210526316,11.615955955492113,2.2575558475689883,10.796392398745393,10,627,1522,aays,2022-12-27 16:14:33.910241+00:00
1.510667396061269,9.130232102933348,1.510667396061269,9.130232102933348,1.5035811311434921,9.048912822953422,3656,3656,4049,abau,2022-12-27 16:14:33.910241+00:00
3.888709677419355,14.985963487939607,3.903899721448468,15.068544802722379,3.9048275862068964,15.073207747601474,620,718,725,abbf,2022-12-27 16:14:33.910241+00:00
1.514253773057574,9.137080784352404,1.514253773057574,9.137080784352404,1.5068216270843862,9.057986935150426,3578,3578,3958,abbz,2022-12-27 16:14:33.910241+00:00
3.8820614469772052,14.83040223568427,3.9073783359497645,14.968012840093325,3.908456167571761,14.97534751961444,1009,1274,1289,abcg,2022-12-27 16:14:33.910241+00:00
