imtype,prop_lake_500,r_500,g_500,b_500,prop_lake_1000,r_1000,g_1000,b_1000,prop_lake_2500,r_2500,g_2500,b_2500,uid,DateTime
land_sat,0.1212424849699398,187.7520661157025,183.8512396694215,161.46280991735537,0.0693144447255249,185.93430656934308,182.93065693430657,160.8175182481752,0.0285749628896585,166.55988455988455,164.7922077922078,145.97691197691196,aabm,2022-12-28 15:29:11.359087+00:00
sentinel,0.2689891490576813,162.79051663128095,123.63375796178345,84.70594479830149,0.2450980392156862,155.87480392156863,120.17382352941176,83.2185294117647,0.275377844468852,154.1542728740959,123.1383189382768,81.46055754511622,aabn,2022-12-28 15:29:17.329306+00:00
sentinel,0.1379960410971816,136.55532786885246,120.12158469945356,94.68374316939892,0.0874241522903034,167.50462710941753,155.25421883505717,135.63826891671204,0.1602210998535156,158.48382181376633,143.1328063617533,120.70695935811052,aacd,2022-12-28 15:29:22.858306+00:00
sentinel,0.2988273740868896,239.1296236732068,197.537793502734,156.58185911868767,0.1979710286299565,229.7356491746736,188.7233308696724,146.59546686375955,0.1021132548037412,205.9364580538842,168.0804430306979,128.28107155175718,aaff,2022-12-28 15:29:29.460306+00:00
sentinel,0.4421135182825213,228.5521064301552,234.63658536585365,230.3436807095344,0.3491250216578797,238.24750088621056,242.3930521091812,239.0207018787664,0.2521264289602613,243.03396082135708,245.7517936261611,243.2968535636372,aafl,2022-12-28 15:32:00.510235+00:00
land_sat,0.0791984732824427,168.5421686746988,164.6144578313253,150.21686746987953,0.1447682752030578,155.23762376237624,150.43069306930693,137.22772277227722,0.0926027612174458,49.42481999152901,47.62388818297332,43.5713680643795,aaig,2022-12-28 15:32:06.697274+00:00
land_sat,0.109090909090909,200.79166666666663,186.1833333333333,165.78333333333333,0.3654970760233918,172.26092307692306,158.85784615384614,143.51261538461537,0.4615327874898576,108.17364551702092,99.80294070640882,90.44582068083746,aair,2022-12-28 15:32:10.776468+00:00
sentinel,0.4809688581314879,243.16686650679452,245.91986410871303,240.5445643485212,0.2888792772010765,239.998170021627,241.2431375811013,232.70553984362,0.2028629789477152,241.906191636216,240.47775071051564,231.54827446203817,aajk,2022-12-28 15:32:16.625133+00:00
sentinel,0.1741917240079178,119.04816017316016,117.57738095238096,97.68290043290044,0.1599048185603807,165.9376488095238,158.66785714285714,139.5480654761905,0.1698923490965013,168.98999751069272,160.51365724501574,141.3234289076467,aalr,2022-12-28 15:32:23.873881+00:00
sentinel,0.3116222075596191,203.27223230490017,175.7870538415003,137.7292800967937,0.331017251635931,208.6072891956006,171.79347279131622,130.0764862339156,0.3444840950078661,184.83895473177688,145.52037292817678,105.45056585278915,aalw,2022-12-28 15:32:30.457961+00:00
